,Name,Album,Artist
0,Panja,Panja,Yuvan Shankar Raja
1,Ye meh Raja,Kushi,KK
2,Hungry Cheetah,The OG,Thaman
3,Jagadame,Pokiri,Kunal Gunjwala
4,Hat Hatja,Balu,Kunal Gunjwala
5,Le le lele,Gudumba Shankar,KK
6,Dhruva Dhruva,Dhruva,Amit Mishra
7,CMGR theme,Cameraman gangatho rambabu,Hemachandra
8,Aaradugula bullet,Atharintiki Daredi,Vijaya Prakash
9,La La Bheemla,Bheemla Nayak,"Thaman, Arun"
10,Kadulu Kadulu,Vakeel Saab,Sri Krishna
11,Padara Padara Padara,Maharshi,Shankara Mahadevan
12,Jalsa Jalsa,Jalsa,Baba Saigal
13,Travelling soldier,Thammudu,Ravana Gogula
14,Who are you,One,Devi Sri Prasad
15,Chalore Chalore ,Jalsa,Devi Sri Prasad
16,Hukum,Jailer,Anirudh
17,Badass,Leo,Anirudh
18,Vikram title,Vikram,Anirudh
19,Nippu ra,Kabali,Arun Raja
20,Raavana,Jai lava kusha,Divya kumar
21,Sainika,Na peru surya na illu india,Vishal Dadlani
22,Naatu Naatu,RRR,Rahul Sipligunj
23,Raktha charitra title,Raktha Charitra,RGV
24,Jayaho Janata,Janatha Garage,Sukhwinder Singh
25,My name is Billa,Billa,Ranjith Govind
26,Dhivara,Bahubali,Ramya Behara
27,,,
28,,,
29,,,
