,Name,Album,Artist
0,Sound of Raaz,Raaz Reeboot,Jeet Ganguly
1,Launtungi Main,Ek Thi Daayan,Rekha Bhardwaj
2,Kaisa Yeh Raaz Hai,Raaz: The Mystery Continues,KK
3,Tujhko Pukare Mera Pyar,Neel Kamal,Rafi
4,Mera Saaya Saath Hoga,Mera Saaya,Lata Mangeshkar
5,Har Tukda Mere Dil ka,Yeh Raat Phir Na Aayegi,Asha Bhosle
6,Gumnaam Hai Koi,Gumnaam,Lata Mangeshkar
7,Naina Barse,Woh Kaun Thi?,Lata Mangeshkar
8,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Lata Mangeshkar
9,Aayega Aaanewala,Mahal,Lata Mangeshkar
10,Tere Bina Aag Yeh Chandni,Awara,Lata Mangeshkar
11,Aaja Re Pardesi,Madhumati,Salil Choudhary
12,Sansaar Ki Har Shay,Dhund,Mahendra Kapoor
13,Jaadu Teri Nazar ,Darr,Udit Narayan
14,Who's that?,Kaun,Sandeep Chowta
15,Aaja Gufaon Mein,Aks,Vasundhara Das
16,Aapke Pyar Mein,Raaz,Alka Yagnik
17,Bhoot Hai Yahan Koi,Bhoot,Asha Bhosle
18,Suna Suna,Krishna Cottage,Shreya Ghoshal
19,Mere Dholna,Bhool Bhulaiyaa,Shreya Ghoshal
20,Muskaanein Jhooti Hai,Talaash,Suman Sridhar
21,Lori of death,Ragini MMS 2,Arpita Chakraborty
22,Saathi Mere Saathi,Veerana,Suman Kalyanpur
23,Bhoot Hoon Main ,Bhoot ,"Salim, Sulaiman Merchant, Sunidhi Chauhan, Vijay Prakash"
24,Yeh Shahr,Raaz,"Bali Brahmbhatt, Jolly Mukherjee, Suzzan"
25,Gagan Jhanjhana rah,Nastik,Hemant Kumar
26,Sau Baar Janam Lenge,Ustadon Ke Ustad,Mohammad Rafi
27,Dekhi Zamane ki Yaar,Kaaghaz ke phool,"Mohammad Rafi, Guru Dutt"
28,Akele Hain Chale Aao,Raaz ,Mohammad Rafi
29,Jayen to jayen kahan,Taxi Driver,Talat Mahmood
30,Waqt ne kiya ,Kaaghaz ke phool,Geeta Dutt
31,Main Bhooka Hoon,Bhoot Bungla,"Suresh, RD Burman"
32,Janam Janam Ka Saath Hai,Tumse Accha Kaun Hai,Mohammad Rafi
33,Yaara sili sili,Lekin,Lata Mangeshkar
