,Name,Album,Artist
0,Dilliwaali Girlfriend,Yeh Jawaani Hai Deewani,"Arijit Singh, Sunidhi Chauhan"
1,Abhi Toh Party Shuru Hui Hai,Khoobsurat,"BADSHAH, AASTHA"
2,Bom Diggy Diggy ,Sonu Ke Titu Ki Sweety,"Zack Knight, Jasmin Walia"
3,London Thumakda,Queen,"Labh Janjua, Sonu Kakkad, Neha Kakkar"
4,Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal
5,Shaam Shaandaar,Shaandaar,Amit Trivedi
6,Fevicol Se,Dabangg 2,"Wajid, Mamta Sharma"
7,First Class,Kalank,Arijit Singh
8,Senorita,Zindagi Na Milegi Dobara,Maria del Mar Fernandez
9,Kala Chashma,Baar Baar Dekho ,Amar Arshi
10,Dil Dhadakne Do,Dil Dhadakne Do,Suraj Jagan
11,Chittiyan Kalaiyaan,Roy,Kanika Kapoor
12,Hai Junoon,Newyork,KK
13,Sunny Sunny,yaariyan,"Yo Yo Honey Singh, Neha Kakkar"
14,Char Botal Vodka,Raagini MMS,Yo Yo Honey Singh
15,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah
16,kanulanu thaake,Manam,Arijit singh
17,Ninu chudagaane,Atharintiki daaredi,Devi Sri Prasad
18,Daarlingey ,Mirchi,Devi Sri Prasad
19,Barbie girl,Mirchi,Oka
20,Chaleya,Jawan,Anirudh
21,Lingidi Lingidi,Kota Bommali,Midhun Mukundhan
22,Na Roja Nuvve,Kushi,Hesham Abdul
23,Jinthaak chithaka,Dhamaka,Mangli
24,Chamkeela Angeelesi,Dasara,Ram Miryala
25,Pulsur bike,Dhamaka,Bheems Ceciroleo
26,Naatu Naatu,RRR,Rahul Sipligunj
27,Arabic kuthu,Beast,Anirudh
28,Boss party,Waltair veerayya,Devi Sri Prasad
29,,,
30,,,
31,,,
32,,,
33,,,
