,Name,Album,Artist
0,Naalona pongaynu,Surya s/o Krishnan,Harris Jayaraj
1,Rooba Rooba,Orange,Shahil Hada
2,Enduko Emo,Rangam,"Aalaap Raju, Prasanthini"
3,Pileche,Khaleja,"Mani Sharma, Hemachandra"
4,Evare Nuvvu,Raju Bhai,Harish Raghavendra
5,Uppenentha,Arya-2,Devi Sri Prasad
6,Gundu Sudhu,Chatrapathi,M.M. Keeravani
7,Sankurathri Kodi,Yuva,Madhushree
8,Nuvvem maya,Okkadu,Mani Sharma
9,Violin song,Iddarammailtho,David Simon
10,Nee Yadalo naaku,Avara,Yuvan Shankar Raja
11,Oy Oy,Oy,Siddharth
12,Kailove Chedugudu,Sakhi,"Naveen, Charan"
13,My heart is beating,Jalsa,KK
14,Ola Olaala ala,Orange,"Karunya, Ranina Reddy"
15,Nijanga Nenena,Kotha bangaru lokam,Karthik
16,Sada Siva,Khaleja,Mani Sharma
17,Feel My love,Arya,KK
18,Mr. Perfect ,Arya-2,Devi Sri Prasad
19,Pachchadanamey,Sakhi,"Hariharan, Clinton"
20,Manasa,Munna,Haricharan
21,Arare Arare,Happy days,Karthik
22,Attu Nuvve,Current,Neha Bhasin
23,Jennifer Lopez,Jalsa,Benny Dayal
24,O Madhu,Julaayi,Adnan Sami
25,Bommanu Geesthey,Bommarillu,Jeans Srinivas
26,Dole Dole,Pokiri,Ranjith Govind
27,Karige Loga,Arya-2,Devi Sri Prasad
28,Inka Edho,Darling,G.V. Prakash
