,Name,Album,Artist
0,Ae Dil hae mushkhil,Ae Dil hae mushkhil,Arijit singh
1,Agar Tum Saath Ho,Tamasha,"Alka Yagnik, Arijit Singh"
2,Zaroorat,Ek Villain,Mustafa Zahid
3,Jiyein Kyun,Dum Maaro Dum,"Pritam, Papon"
4,Dooriyan,Love Aaj Kal,"Mohit Chauhan, Pritam"
5,Jeena Jeena,Badlapur,Atif Aslam
6,Abhi Mujh Mein Kahin,Agneepath,"Ajay-Atul, Sonu Nigam"
7,Tera Chehra,Sanam Teri Kasam,Arijit singh
8,O Saathi,Baaghi2,"Atif Aslam, Arko"
9,Bhula Dena,Aashiqui 2,Mustafa Zahid
10,Kal Ho Naa Ho,Kal Ho Naa Ho,"Shankar-Eshaan-Loy, Alka Yagnik, Richa Sharma, Sonu Nigam"
11,Hasi - Male version,Hamari Adhuri Kahani,"Ami Mishra, Kunaal Vermaa"
12,Tune Jo Na Kaha,New York,"Pritam, Mohit Chauhan, Sandeep Shrivastava, Pankaj Awasthi"
13,Samjhawan,Humpty Sharma Ki Dulhania,"Jawad Ahmad, Shaarib Toshi, Arijit Singh, Shreya Ghoshal"
14,Bhula Diya,Bhula Diya,Darshan Raval
15,Shayad,Love Aaj Kal,"Pritam, Arijit Singh"
16,Channa Mereya,Ae Dil hae mushkhil,"Pritam, Arijit Singh"
17,Maana Ke Hum Yaar Nahin,Meri Pyaari Bindu,"Sachin-Jigar, Parineeti Chopra, Kausar Munir"
18,Main Rahoon Ya Na Rahoon,Main Rahoon Ya Na Rahoon,"Amaal Mallik, Armaan Mallik, Rashmi Virag"
19,Humsafar,Badrinath ki Dulhania,"Akhil Sachdeva, Mansheel Gujral"
20,Tu Hai Ki Nahi,Roy,Ankit Tiwari
21,Kabhi Khushi Kabhi Gham,Kabhi Khushi Kabhi Gham,"Jatin-Lalit, Lata Mangeshkar"
22,Khairiyat,Chhichhore,"Pritam, Arijit Singh"
23,Tera Zikr,Tera Zikr,Darshan Raval
24,Mehrama,Love Aaj Kal,"Pritam, Darshan Raval, Antara"
25,Chaandaniya,2 States,"Mohan Kannan, Yashita Sharma"
26,Main Tumhara,Dil Bechara,"AR Rahman, Jonita Gandhi, Hriday Gattani"
27,Raabta,Agent Vinod,Arijit singh
28,Ek Tarfa,Ek Tarfa,Darshan Raval
29,Kabira,Yeh Jawaani Hain Deewani,"Pritam, Harshdeep Kaur, Arijit Singh"
30,Manchala,Hasee Toh Phasee,"Vishal-Shekhar, Shafqat Amanat Ali, Nupur Pant"
31,Maa,Taare Zameen Par,Shankar Mahadevan
32,Mann Bharryaa 2.0,Shershaah,"B Praak, Jaani"
33,Darmiyaan(Reprise),Jodi Breakers,Shreya Ghoshal
