,Name,Album,Artist
0,Heeriye Heeriye,Heeriye Heeriye,Jasleen Royal
1,Bad boy,Saaho,"Badshah, Neeti Mohan"
2,Psycho Sayaan,Saaho,"Anirudh, Dhvani Bhanushali"
3,O Sayonara,One,Sooraj Santhosh
4,Waka Waka,Valmiki,Mickey J Meyer
5,Temper,Temper,"Uma Neha, Karthikeyan"
6,Bharat ane nenu,Bharat ane nenu,David Simon
7,Seeti Maar,DJ,Jaspreet Jaaz
8,Bombhaat,Lie,Rahul Sipligunj
9,Thassadiyya,Vinaya Vidheya rama,Jaspreet Jaaz
10,Manohari,Bahubali,"Mohana Bhogaraju, LV Revanth"
11,Top Lesi Poddi,Iddaramailtho,Sagar
12,Darlinegy,Mirchi,Devi sri Prasad
13,Gili Giligas,Deshamuduru,Devan Ekambaram
14,Laila O Laila,Nayak,Shankar Mahadevan
15,Pimple Dimple,Yevadu,Sagar
16,Sweety,Race gurram,Siddharth Mahadevan
17,Freedom ,Yevadu,Suchith Suresan
18,Hey Nayak,Nayak,Shreya Ghosal
19,Theme of Bro,Bro,Aditi Bhavaraju
20,,,
21,,,
22,,,
